序号,Volume,Area,max_temp_z,Length1,Length2,Length3,Pra,Prb,Pouter_radius,Pinner_radius,Parea,Pcircularity,Pcompactness,Pcontlength,Pconvexity,Prectangularity,Pphi,Panisometry,Pbulkiness,Pinner_width,Pinner_height,Pdist_mean,Pmax_diameter,Porientation,Prect2_len1,Prect2_len2,Pmoments_m11,Pmoments_m20,Pmoments_m02,Pmoments_ia,Pmoments_ib,Pmoments_m11_invar,Pmoments_m20_invar,Pmoments_m02_invar,Pmoments_phi1,Pmoments_phi2,Pmoments_m21,Pmoments_m12,Pmoments_m03,Pmoments_m30,Pmoments_m21_invar,Pmoments_m12_invar,Pmoments_m03_invar,Pmoments_m30_invar,Pmoments_i1,Pmoments_i2,Pmoments_i3,Pmoments_i4,Pmoments_psi1,Pmoments_psi2,Pmoments_psi3,Pmoments_psi4,质量,人工测量：长,人工测量：高,分档,宽1,宽2,宽3,人工测量：宽,边1,边2,边3,备注
4701,62.8668,107.972,7.06821,11.4728,4.14798,3.44185,6.4297,2.42793,6.5,2.5,47,0.354591,1.31791,27.8995,0.94,0.73913,1.47197,2.64822,1.04347,3,11,3.01655,12,1.47197,6,2,-40.8936,481.702,73.3191,485.757,69.2645,-0.0185123,0.218063,0.0331911,0.251255,0.0355486,121.39,47.148,-31.024,-365.253,0.0011692,0.000454119,-0.000298816,-0.00351804,33645.7,-7.34E+08,-5.00E+06,1.35E+12,0.00689506,-1.40E-08,-9.87E-06,5.46E-07,0.24,12,4.3,0,4.9,4.9,4.9,4.9,4.2,3.8,12.2,
4702,93.9101,135.072,6.97121,11.2699,4.81377,3.31768,6.38237,2.99217,6.35235,3,60,0.517184,1.09458,28.7279,0.967742,0.77193,-1.2469,2.13303,0.999924,4,8,3.40731,11.7047,-1.2469,5.82086,2.78916,143.833,562.733,182.583,611.021,134.296,0.0399537,0.156315,0.0507176,0.207032,0.017536,86.7111,-3.67222,-28.6806,135.324,0.00040144,-1.70E-05,-0.00013278,0.000626502,82057.7,-6.75E+07,-2.36E+06,1.55E+12,0.00633161,-1.12E-10,-8.42E-07,4.27E-08,0.3,11.3,3.8,0,4.8,4.9,4.8,4.833333333,4.2,4.1,10.8,
4703,63.0248,97.2129,7.61631,8.59452,4.18665,3.99021,4.58242,2.48668,4.53113,2.5,36,0.67367,1,20.7279,0.972973,0.735294,0.948151,1.84279,0.9944,4,4,2.44652,8.06226,-2.19344,3.88909,2.12132,-63.1667,143.639,101,188.987,55.652,-0.0487397,0.110832,0.0779321,0.188765,0.0105847,-11.8981,-5.22222,14.6667,22.304,-0.000255019,-0.00011193,0.000314358,0.000478052,10517.5,-138049,-38306.8,3.23E+09,0.00626185,-3.78E-11,-4.89E-07,2.46E-08,0.2,8.9,3.7,0,4.3,4.3,4.3,4.3,4.5,3.3,8.9,
4704,66.0471,103.609,6.84091,9.59605,4.57946,3.16325,4.88449,2.927,5.05556,2.5,44,0.585054,1.05412,24.1421,0.93617,0.785714,-1.56336,1.66877,1.0208,4,7,2.71523,9.05539,1.57823,4.5,2.5,1.25,262.432,94.25,262.441,94.2407,0.000645661,0.135554,0.0486829,0.184236,0.0075482,-59.4659,10.3977,17.625,-35.47,-0.000698088,0.000122062,0.000206905,-0.000416393,24732.6,-1.81E+07,-671461,1.33E+11,0.00659872,-6.64E-10,-2.10E-06,1.11E-07,0.18,9.4,3.2,0,4.5,4.5,4.5,4.5,4.2,3.1,9,
4705,65.7075,101.944,6.71721,8.42308,5.56026,3.0696,4.5266,3.27958,4.65519,3,46,0.737182,1,23.3137,0.938776,0.818182,0.077993,1.38024,1.01387,8,4,2.77464,8.24621,-3.0636,4,3,-8.69565,124.37,234.957,235.636,123.69,-0.00410948,0.0587758,0.111038,0.169814,0.0027989,41.1456,-40.3251,-86.5747,18.8507,0.000422717,-0.000414288,-0.000889441,0.000193666,29145.8,-5.09E+07,-1.22E+06,2.85E+11,0.00650946,-1.20E-09,-2.80E-06,1.46E-07,0.16,8.5,3.7,0,4.2,4.3,4.6,4.366666667,4.2,4,8.3,
4706,59.1848,97.0888,6.44851,9.50216,4.74506,2.82928,5.30424,2.82281,5.52494,2.5,47,0.54097,1.0353,24.7279,0.94,0.75,1.48726,1.87906,1.00082,5,7,2.83176,10.0499,-1.65433,5,2.5,-19.7021,328.936,95.2766,330.586,93.627,-0.00891903,0.148907,0.0431311,0.192038,0.0115068,-1.63513,-15.6885,7.93662,54.7334,-1.57E-05,-0.000151109,7.64E-05,0.00052718,30951.7,-725669,-159244,4.05E+10,0.00634299,-1.38E-11,-3.14E-07,1.64E-08,0.21,8.3,3.3,0,5.6,5.6,5.6,5.6,4.2,3.8,8.7,
4707,64.7045,105.949,6.53141,10.3461,4.58862,2.95872,5.72766,2.7472,5.64782,2.5,49,0.575207,1.0607,25.5563,0.960784,0.808511,0.977182,2.08491,1.00884,5,4,3.08368,10.2956,-2.16441,4.94975,2.47487,-143.469,305.061,189.265,401.875,92.4518,-0.059754,0.127056,0.0788277,0.205884,0.0166081,18.5564,-63.3953,50.384,81.1537,0.000157727,-0.000538851,0.000428257,0.000689795,37154,-4.00E+07,-1.22E+06,3.65E+11,0.00644498,-5.01E-10,-1.81E-06,9.33E-08,0.21,10.3,3.5,0,5,5.1,5,5.033333333,4.7,3.3,10.3,
4708,81.8729,122.115,6.95451,11.0071,5.43116,3.34575,5.63881,3.11653,5.88516,3,54,0.510099,1.11902,27.5563,0.915254,0.730769,-0.48261,1.80932,1.02239,6,5,3.1889,10.7703,-0.48261,5.36656,2.90689,122.556,195.333,365.037,429.248,131.122,0.0420287,0.0669867,0.125184,0.192171,0.0104526,72.0864,122.416,37.808,-24.8148,0.000457796,0.00077742,0.000240105,-0.00015759,56284,-3.08E+08,-4.20E+06,1.90E+12,0.00661927,-1.46E-09,-3.14E-06,1.67E-07,0.22,8.7,3.5,0,5.5,5.5,5.5,5.5,3.8,3.8,10.8,
4709,60.9009,101.083,5.97471,9.86349,4.60775,2.35218,5.52572,2.97253,5.59902,2.5,51,0.623418,1.06636,26.1421,0.944444,0.77551,-0.238037,1.85893,1.0118,8,4,3.04183,10.198,-0.238037,5.01377,2.69258,63.3922,128.039,373.922,389.303,112.658,0.0243722,0.0492269,0.143761,0.192988,0.0113127,-12.7616,-15.3614,35.9938,-5.70165,-9.62E-05,-0.000115803,0.000271342,-4.30E-05,43858.1,-48345.1,-91737,3.55E+10,0.00648289,-4.06E-13,-1.02E-07,5.84E-09,0.2,10.3,2.8,0,4.4,4.4,4.5,4.433333333,4.5,2.9,10,
4710,80.8407,117.009,7.34181,10.2481,4.47991,3.74314,5.22647,2.86997,5.21699,2.5,47,0.625433,1,24.1421,0.979167,0.795455,0.921954,1.82109,1.00262,5,4,2.95139,9.43398,0.921954,4.59619,2.47487,-107.936,239.106,178.638,320.963,96.7817,-0.048862,0.108242,0.0808684,0.18911,0.0102993,41.5469,21.3196,-54.5487,-79.3581,0.00040017,0.000205346,-0.000525401,-0.000764359,31063.3,-2.53E+07,-889526,2.21E+11,0.00636585,-4.82E-10,-1.76E-06,8.95E-08,0.23,9.7,4.6,0,5.1,5.1,5.1,5.1,4.4,3.5,10,
4711,44.0142,88.014,6.07931,9.37937,4.16931,2.41032,5.20851,2.60541,5.10977,2.5,43,0.587735,1,23.0711,0.977273,0.85,0.0814028,1.99911,0.991451,8,4,2.66918,9.21954,0.0814028,4.5,2,-17.7209,74.4186,290.186,291.632,72.9729,-0.00958406,0.040248,0.156942,0.19719,0.0139849,-14.3072,-31.8637,63.5792,9.02758,-0.000179949,-0.000400766,0.000799668,0.000113544,21281.2,-3.78E+06,-284031,4.84E+10,0.00622476,-1.75E-10,-1.04E-06,5.21E-08,0.15,9.7,3.2,0,4.2,4.2,4.1,4.166666667,4.2,3.3,10,
4712,53.4104,86.4706,7.36761,7.40497,4.60781,3.78381,4.13225,2.95757,4.14005,2.5,38,0.869403,1,21.3137,0.95,0.833333,-1.47543,1.39718,1.01039,4,6,2.43078,7.28011,1.66617,3.5,2.5,7.5,161.5,83.8158,162.217,83.0983,0.00519391,0.111842,0.0580442,0.169886,0.00300212,-34,3.15789,15.2909,0,-0.000619624,5.76E-05,0.000278664,0,13480,-2.44E+06,-183269,1.99E+10,0.00646481,-3.88E-10,-1.60E-06,8.34E-08,0.23,7.8,3.2,0,5.2,5.2,5.5,5.3,4.1,3.4,8,
4713,61.1181,91.6617,6.81781,6.2807,5.7132,3.18156,3.87863,3.46596,4.30789,3,42,0.858686,1,21.8995,0.976744,0.725,0.964258,1.11906,1.00555,6,5,2.58697,7.61577,-2.17733,3.3541,3.1305,-14.9048,147.619,136.476,157.96,126.136,-0.00844941,0.0836843,0.0773675,0.161052,0.000325472,13.5261,-8.17914,-16.2766,11.9909,0.000182568,-0.000110398,-0.000219693,0.000161847,19924.3,-315540,-81989.1,1.32E+10,0.00640305,-1.85E-11,-3.56E-07,1.85E-08,0.21,5.8,3.6,0,5.2,5.7,5.7,5.533333333,4.7,3.9,5.9,
4714,63.8133,102.037,6.54861,9.06873,5.30505,2.93689,4.75143,3.39505,5.03364,3,49,0.669088,1,24.7279,0.960784,0.8125,0.237555,1.39952,1.03425,8,4,2.90056,9.05539,-2.90404,4.5,3,-30.9592,148.694,269.061,276.557,141.198,-0.0128943,0.06193,0.112062,0.173992,0.00317829,41.6256,-117.756,-53.6027,47.0429,0.000353812,-0.00100091,-0.000455615,0.000399858,39049.3,-4.63E+08,-4.28E+06,1.34E+12,0.00677374,-5.80E-09,-6.31E-06,3.43E-07,0.18,9.2,3,0,4.6,4.8,4.8,4.733333333,4.1,3.6,9,
4715,48.3275,86.5419,6.13291,7.875,4.7635,2.48355,4.85421,3.05248,4.8566,2.5,45,0.657002,1.03069,24.1421,0.918367,0.818182,1.08321,1.59025,1.03445,5,5,2.81258,8.60233,1.08321,4.29893,2.7735,-66.3333,229.911,140,265.087,104.824,-0.0327572,0.113536,0.0691358,0.182672,0.00626355,79.563,8.33333,-59.3333,-76.6588,0.000873119,9.14E-05,-0.00065112,-0.000841248,27787.4,-1.18E+08,-1.82E+06,4.05E+11,0.00677639,-3.48E-09,-4.87E-06,2.64E-07,0.2,7.6,2.5,0,4.7,4.6,4.5,4.6,4.7,2.6,7.7,
4716,65.1154,98.4735,7.27401,7.40188,5.60114,3.63565,4.48009,2.88468,4.53113,2.5,41,0.792738,1,21.3137,0.97619,0.815789,0.961133,1.55306,0.990264,5,4,2.64715,8.06226,0.961133,3.88909,2.47487,-56.5366,166.244,124.78,205.73,85.2943,-0.0336327,0.0988958,0.0742299,0.173126,0.00513304,10.0357,-11.2493,0.406901,5.95717,0.000145612,-0.00016322,5.90E-06,8.64E-05,17547.6,-68863.5,-34768.2,4.88E+09,0.00620987,-5.13E-12,-1.79E-07,8.87E-09,0.22,8.7,4.7,0,5,4.9,5,4.966666667,4.3,3.9,8.7,
4717,45.4715,81.9796,6.68371,8.94891,4.12637,3.04991,5.00328,2.66561,4.97214,2.5,42,0.636946,1,22.7279,0.976744,0.8,1.02327,1.87698,0.99759,4,5,2.72637,8.94427,1.02327,4.4376,2.35748,-83.6667,211.833,125.619,262.845,74.6075,-0.0474301,0.120087,0.0712126,0.1913,0.0113871,16.6032,-2.06349,-7.92744,-15.1111,0.000224101,-2.79E-05,-0.000107,-0.000203962,19610.2,-109148,-46606.3,7.34E+09,0.00630209,-6.39E-12,-2.02E-07,1.02E-08,0.2,8.6,3.4,0,4.3,4.3,4.3,4.3,4.1,3.8,9.1,
4718,74.3382,110.547,7.45831,8.96306,4.9178,3.86496,5.10227,2.93253,5.24342,2.5,47,0.608751,1,24.1421,0.959184,0.840909,-1.11351,1.73988,1.00013,4,6,2.91691,9.48683,2.02809,4.24264,2.82843,81.1489,265.957,140.979,305.889,101.047,0.0367356,0.120397,0.0638202,0.184217,0.00859898,1.49117,4.54685,-1.99909,-14.0127,1.44E-05,4.38E-05,-1.93E-05,-0.000134967,30909.2,-5788.12,-17309.9,4.55E+09,0.00633426,-1.10E-13,-3.42E-08,1.84E-09,0.18,9.1,3.4,0,4.7,4.9,4.6,4.733333333,4.2,3.7,8.9,
