,feature,importance_gain,importance_split,trn_score,run
0,NAME_CONTRACT_TYPE,209.13144063949585,22,0.7113861787042597,1
1,CODE_GENDER,401.92840099334717,77,0.7113861787042597,1
2,FLAG_OWN_CAR,219.94323420524597,37,0.7113861787042597,1
3,FLAG_OWN_REALTY,520.1701583862305,74,0.7113861787042597,1
4,CNT_CHILDREN,560.7858948409557,66,0.7113861787042597,1
5,AMT_INCOME_TOTAL,6226.195576488972,638,0.7113861787042597,1
6,AMT_CREDIT,5632.84118565917,605,0.7113861787042597,1
7,AMT_ANNUITY,7291.155352115631,720,0.7113861787042597,1
8,AMT_GOODS_PRICE,4659.386060088873,464,0.7113861787042597,1
9,NAME_TYPE_SUITE,408.788450717926,47,0.7113861787042597,1
10,NAME_INCOME_TYPE,56.59317111968994,6,0.7113861787042597,1
11,NAME_EDUCATION_TYPE,175.888249874115,20,0.7113861787042597,1
12,NAME_FAMILY_STATUS,492.8854093551636,55,0.7113861787042597,1
13,NAME_HOUSING_TYPE,255.13520002365112,29,0.7113861787042597,1
14,REGION_POPULATION_RELATIVE,5268.816112160683,515,0.7113861787042597,1
15,DAYS_BIRTH,8141.653064548969,826,0.7113861787042597,1
16,DAYS_EMPLOYED,7563.1880604326725,770,0.7113861787042597,1
17,DAYS_REGISTRATION,8170.28965434432,800,0.7113861787042597,1
18,DAYS_ID_PUBLISH,8867.02870336175,857,0.7113861787042597,1
19,OWN_CAR_AGE,4584.345691770315,448,0.7113861787042597,1
20,FLAG_MOBIL,0.0,0,0.7113861787042597,1
21,FLAG_EMP_PHONE,64.9435887336731,7,0.7113861787042597,1
22,FLAG_WORK_PHONE,467.10334157943726,42,0.7113861787042597,1
23,FLAG_CONT_MOBILE,0.0,0,0.7113861787042597,1
24,FLAG_PHONE,393.9101425409317,45,0.7113861787042597,1
25,FLAG_EMAIL,345.2824909687042,35,0.7113861787042597,1
26,OCCUPATION_TYPE,4382.676511287689,424,0.7113861787042597,1
27,CNT_FAM_MEMBERS,937.748047798872,100,0.7113861787042597,1
28,REGION_RATING_CLIENT,324.9273484945297,40,0.7113861787042597,1
29,REGION_RATING_CLIENT_W_CITY,294.36069893836975,33,0.7113861787042597,1
30,WEEKDAY_APPR_PROCESS_START,1227.4406957626343,127,0.7113861787042597,1
31,HOUR_APPR_PROCESS_START,3921.331607103348,376,0.7113861787042597,1
32,REG_REGION_NOT_LIVE_REGION,239.98472023010254,26,0.7113861787042597,1
33,REG_REGION_NOT_WORK_REGION,269.6072381734848,30,0.7113861787042597,1
34,LIVE_REGION_NOT_WORK_REGION,389.8590450286865,39,0.7113861787042597,1
35,REG_CITY_NOT_LIVE_CITY,268.38053131103516,30,0.7113861787042597,1
36,REG_CITY_NOT_WORK_CITY,341.61077070236206,33,0.7113861787042597,1
37,LIVE_CITY_NOT_WORK_CITY,263.63353860378265,27,0.7113861787042597,1
